output_file,source_file,asset_id,chosen_sprite,chosen_name,reference_count,all_references
166__kind_of_chess_piece_white4__grasshopper-b__383af07ea3c809d0a560b3b4d80e2651.svg,383af07ea3c809d0a560b3b4d80e2651.svg,383af07ea3c809d0a560b3b4d80e2651,kind of chess piece white4,grasshopper-b,1,kind of chess piece white4:36:grasshopper-b
167__kind_of_chess_piece_white4__grasshopper-w__25bf5c0c86a33816bf04783269be9d7c.svg,25bf5c0c86a33816bf04783269be9d7c.svg,25bf5c0c86a33816bf04783269be9d7c,kind of chess piece white4,grasshopper-w,3,kind of chess piece white4:35:grasshopper-w | kind of chess piece2:24:Chess_tlt45 | 스프라이트 2:20:grasshopper-w
168__kind_of_chess_piece_white4__istockphoto-1835374268-612x612__b1e33af07339c0502067a0df02594291.svg,b1e33af07339c0502067a0df02594291.svg,b1e33af07339c0502067a0df02594291,kind of chess piece white4,istockphoto-1835374268-612x612,1,kind of chess piece white4:114:istockphoto-1835374268-612x612
169__kind_of_chess_piece_white4__kb__8080aea839f3e070328acf6f0ae8a490.svg,8080aea839f3e070328acf6f0ae8a490.svg,8080aea839f3e070328acf6f0ae8a490,kind of chess piece white4,kb,2,kind of chess piece white4:65:kb | kind of chess piece black:4:kb
170__kind_of_chess_piece_white4__kb2__7cdf5d2f17fd6179ed00f2a91bb6d09a.svg,7cdf5d2f17fd6179ed00f2a91bb6d09a.svg,7cdf5d2f17fd6179ed00f2a91bb6d09a,kind of chess piece white4,kb2,3,kind of chess piece white4:75:kb2 | chess pieces:4:kb2 | 2:4:kb2
171__kind_of_chess_piece_white4__kb3__72d490628569af887fd4a4f3c35f87c9.svg,72d490628569af887fd4a4f3c35f87c9.svg,72d490628569af887fd4a4f3c35f87c9,kind of chess piece white4,kb3,3,kind of chess piece white4:77:kb3 | chess pieces:2:kb | 2:2:kb
172__kind_of_chess_piece_white4__king__fc7d95d15f8e00296729a3df924e289f.svg,fc7d95d15f8e00296729a3df924e289f.svg,fc7d95d15f8e00296729a3df924e289f,kind of chess piece white4,king,6,kind of chess piece white4:10:king | chess pieces:8:kw | chess pieces:46:kw3 | kind of chess piece2:2:2 | 2:8:kw | 스프라이트 2:3:king
173__kind_of_chess_piece_white4__knight__d0ece8952d2c2bf70ff893123862957e.svg,d0ece8952d2c2bf70ff893123862957e.svg,d0ece8952d2c2bf70ff893123862957e,kind of chess piece white4,knight,2,kind of chess piece white4:1:knight | 스프라이트 2:7:knight
174__kind_of_chess_piece_white4__knight2__f83e56e40bdfeb26b1d7cb27e4756af8.svg,f83e56e40bdfeb26b1d7cb27e4756af8.svg,f83e56e40bdfeb26b1d7cb27e4756af8,kind of chess piece white4,knight2,4,kind of chess piece white4:8:knight2 | chess pieces:36:knight2 | 2:36:knight2 | 스프라이트 2:1:knight2
175__kind_of_chess_piece_white4__knight3__7e10a5a41e45ee60a3463c3e590a3178.svg,7e10a5a41e45ee60a3463c3e590a3178.svg,7e10a5a41e45ee60a3463c3e590a3178,kind of chess piece white4,knight3,1,kind of chess piece white4:9:knight3
176__kind_of_chess_piece_white4__knight4__e285c5b1152bb3554f103f72f3d79a5b.svg,e285c5b1152bb3554f103f72f3d79a5b.svg,e285c5b1152bb3554f103f72f3d79a5b,kind of chess piece white4,knight4,1,kind of chess piece white4:2:knight4
177__kind_of_chess_piece_white4__lion-b__f81630c20f357641870e18925a88e716.svg,f81630c20f357641870e18925a88e716.svg,f81630c20f357641870e18925a88e716,kind of chess piece white4,lion-b,1,kind of chess piece white4:86:lion-b
178__kind_of_chess_piece_white4__lion-w__b50aa616862611d8fe5f7a0663f271b7.svg,b50aa616862611d8fe5f7a0663f271b7.svg,b50aa616862611d8fe5f7a0663f271b7,kind of chess piece white4,lion-w,2,kind of chess piece white4:85:lion-w | 스프라이트 2:33:lion-w
179__kind_of_chess_piece_white4__mann-b__7f83516fa705caffc5d1220d1965002e.svg,7f83516fa705caffc5d1220d1965002e.svg,7f83516fa705caffc5d1220d1965002e,kind of chess piece white4,mann-b,1,kind of chess piece white4:80:mann-b
